"Time","trees","people","pollution"
0,0,30,6
1,0,30,10.800000000000006
2,1,30,15.120000000000005
3,3,30,19.20000000000001
4,4,30,23.102999999999998
5,7,30,26.86739999999999
6,7,30,30.51710400000004
7,7,30,34.06899600000001
8,9,30,37.535689499999975
9,12,30,40.91302349999992
10,14,30,44.22221206260005
11,15,30,45.98734509644996
12,17,30,48.491550592751985
13,17,30,51.02742079461284
14,18,30,53.53984938906392
15,20,30,56.01634551353156
16,22,30,58.45400049871117
17,23,30,60.85191383333469
18,24,30,63.2104791050251
19,25,30,65.53057916870338
20,28,30,67.75007694390666
21,29,30,69.9616439911261
22,30,30,72.13848633425933
23,31,30,74.11612559056826
24,32,30,76.12688266644818
25,33,30,78.09951287768641
26,34,30,80.05225861530994
27,34,30,81.97435681238571
28,36,30,83.83089283424297
29,36,30,85.67271329579984
30,36,30,87.48397299564272
31,39,30,89.2554154740012
32,43,30,90.93488534086852
33,44,30,92.6196419428378
34,47,30,94.26687648433764
35,50,30,93.15614126022876
36,52,30,92.54390745067113
37,53,30,92.82177823801966
38,55,30,93.04074838476272
39,59,30,92.45184704943392
40,61,30,90.24262854679142
41,62,30,89.74287688458219
42,63,30,88.27688034749569
43,64,30,87.6840569655674
44,66,30,87.17892997021664
45,67,30,86.34389194099506
46,67,30,85.9180166291373
47,68,30,85.5874235075978
48,69,29,85.33379210848754
49,71,28,85.12981083966366
50,71,27,84.97160055396597
51,72,0,84.84743972579881
